iter	Passed	Remaining
838	1010	193
839	1012	192
840	1013	191
841	1015	190
842	1016	189
843	1018	188
844	1019	186
845	1020	185
846	1021	184
847	1022	183
848	1023	182
849	1024	180
850	1025	179
851	1027	178
852	1028	177
853	1029	175
854	1030	174
855	1031	173
856	1032	172
857	1033	171
858	1034	169
859	1035	168
860	1036	167
861	1037	166
862	1039	164
863	1040	163
864	1041	162
865	1042	161
866	1043	160
867	1044	158
868	1045	157
869	1047	156
870	1048	155
871	1049	154
872	1050	152
873	1051	151
874	1052	150
875	1053	149
876	1055	147
877	1056	146
878	1057	145
879	1058	144
880	1060	143
881	1061	141
882	1062	140
883	1063	139
884	1064	138
885	1065	137
886	1066	135
887	1068	134
888	1069	133
889	1070	132
890	1071	131
891	1072	129
892	1073	128
893	1074	127
894	1076	126
895	1077	125
896	1078	123
897	1079	122
898	1080	121
899	1081	120
900	1082	118
901	1083	117
902	1085	116
903	1086	115
904	1087	114
905	1088	112
906	1089	111
907	1090	110
908	1091	109
909	1092	108
910	1094	106
911	1095	105
912	1095	104
913	1098	103
914	1099	102
915	1100	100
916	1101	99
917	1102	98
918	1103	97
919	1105	96
920	1106	94
921	1107	93
922	1108	92
923	1109	91
924	1110	90
925	1111	88
926	1112	87
927	1113	86
928	1114	85
929	1115	83
930	1116	82
931	1117	81
932	1119	80
933	1120	79
934	1121	77
935	1122	76
936	1123	75
937	1124	74
938	1125	73
939	1126	71
940	1128	70
941	1129	69
942	1130	68
943	1131	67
944	1132	65
945	1134	64
946	1135	63
947	1136	62
948	1137	61
949	1138	59
950	1139	58
951	1140	57
952	1142	56
953	1143	55
954	1144	53
955	1145	52
956	1146	51
957	1147	50
958	1148	49
959	1149	47
960	1150	46
961	1152	45
962	1153	44
963	1154	43
964	1155	41
965	1156	40
966	1157	39
967	1158	38
968	1159	37
969	1160	35
970	1161	34
971	1163	33
972	1164	32
973	1165	31
974	1166	29
975	1167	28
976	1168	27
977	1168	26
978	1169	25
979	1171	23
980	1172	22
981	1173	21
982	1174	20
983	1175	19
984	1175	17
985	1176	16
986	1178	15
987	1179	14
988	1180	13
989	1181	11
990	1182	10
991	1183	9
992	1184	8
993	1185	7
994	1186	5
995	1187	4
996	1188	3
997	1189	2
998	1190	1
999	1191	0
